"Points:0","Points:1","Points:2"
0.078009,0.025577,-0.055959
0.077974,0.022871,-0.057528
0.077941,0.02558,-0.059092
0.031195,0.1327,-0.093733
0.033162,0.1327,-0.097315
0.035281,0.1327,-0.093826
0.07717,0.061105,-0.081015
0.077196,0.064609,-0.080675
0.077214,0.06282,-0.080082
0.021226,0.12746,-0.079762
0.019885,0.12928,-0.079714
0.022133,0.13039,-0.079777
0.021008,0.068866,-0.060914
0.023974,0.068866,-0.058949
0.022491,0.071947,-0.059931
0.063226,0.059711,-0.080706
0.064943,0.062666,-0.080745
0.066604,0.059741,-0.080783
0.040138,0.031352,-0.15699
0.036865,0.031352,-0.15507
0.038501,0.028061,-0.15603
0.071693,0.0044711,-0.10055
0.072188,0.0043584,-0.096715
0.071744,0.0022186,-0.09886
0.064918,0.11401,-0.18338
0.063294,0.11059,-0.18243
0.061601,0.11402,-0.18143
-0.012388,0.0049998,-0.13234
-0.011174,0.0049996,-0.12968
-0.014974,0.005,-0.13086
0.064851,2.5725e-05,-0.14045
0.0629,-7.1092e-06,-0.13693
0.060776,-6.9564e-06,-0.14044
0.062619,0.020256,-0.046183
0.065743,0.020256,-0.046255
0.064182,0.022962,-0.046219
0.070073,0.005,-0.18237
0.07016,0.005,-0.17855
0.070356,0.0044211,-0.17833
0.06642,0.090561,-0.17246
0.068725,0.090677,-0.17406
0.067875,0.094005,-0.17349
0.068858,0.068979,-0.046327
0.065745,0.06898,-0.046254
0.067302,0.066274,-0.046291
0.018853,0.055547,-0.15612
0.020562,0.058986,-0.15713
0.022271,0.055547,-0.15814
0.012736,0.1377,-0.096852
0.016821,0.1377,-0.096945
0.014698,0.1377,-0.10044
0.003253,0.0073629,-0.072674
0.00025805,0.0074974,-0.074658
0.0018875,0.005,-0.073579
0.0090731,0.067528,-0.13869
0.0057121,0.067543,-0.1367
0.0072922,0.064296,-0.13764
0.053746,0.0049999,-0.090704
0.057822,0.0050003,-0.090795
0.055714,0.0050002,-0.094288
-0.001697,0.005,-0.10005
0.0024381,0.005,-0.10016
0.00032913,0.005,-0.10365
-0.015026,0.13271,-0.12229
-0.016461,0.13286,-0.11813
-0.017824,0.13281,-0.12132
0.069606,0.043466,-0.18581
0.069515,0.046947,-0.186
0.069765,0.045463,-0.18422
-0.0092773,0.0092719,-0.099989
-0.0081152,0.0092281,-0.097121
-0.0088891,0.0065295,-0.098658
0.043811,0.13507,-0.046084
0.043889,0.1327,-0.045758
0.045402,0.13517,-0.046081
-0.0091451,1.4434e-07,-0.13336
