"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
1677,1,0,0,0,-2.0817e-05,-3.8549e-05,1.5597e-06,-0.0084228,0.0073083,-0.0063081,0.0075,0.0052421,-0.0026451,-0.0082881,-0.090252,-0.033618,-0.2375
1531,1,0,0,0,-9.0252e-06,1.7207e-06,3.4278e-06,-0.018707,-0.00058755,0.0155,0.0075,0.00034545,-0.00082125,0.0020592,-0.07362,-0.034,-0.2375
308,1,0,0,0,-8.1416e-06,-2.6461e-05,-1.947e-05,0.0031393,0.01966,-0.0013356,0.0075,0.0034273,-0.00034122,-0.0035822,-0.038011,-0.033904,-0.2375
372,1,0,0,0,0.00010275,5.0381e-05,5.9832e-13,-1.3157e-19,-8.5268e-19,0,0.0075,-0.0067176,0.0137,-0.013416,-0.022148,-0.033976,-0.2375
357,1,0,0,0,2.1495e-06,3.651e-05,1.768e-05,0.020215,0.0020045,0.0015437,0.0075,0.0034634,0.0025862,-0.0015156,-0.0086432,-0.034001,-0.2308
610,1,0,0,0,-1.8588e-05,1.4788e-07,4.7734e-07,0.0066349,-0.002283,0.0047211,0.0075,4.5739e-05,-0.0024278,0.0024779,0.042191,-0.034001,-0.2375
1479,1,0,0,0,7.2511e-05,-7.445e-05,-8.8594e-07,0.010996,0.0013276,0.0017147,0.0075,0.010169,0.0096304,-0.040356,0.098604,-0.033944,-0.2375
1213,1,0,0,0,-2.1839e-05,3.371e-06,-1.3933e-06,0.00088617,0.0040809,-0.004937,0.0075,-0.00030422,-0.0035037,0.0022929,0.12774,-0.034,-0.2375
1257,1,0,0,0,-2.7501e-05,-1.2445e-05,1.0918e-06,0.0024877,-0.006383,-0.0046784,0.0075,0.0010967,-0.0030376,-0.010448,-0.066399,-0.019396,-0.2375
1105,1,0,0,0,7.2405e-06,2.135e-05,2.7803e-05,-0.019603,-0.00090027,-0.015775,0.0075,-0.0031257,0.00099429,0.0094436,-0.052938,-0.032148,-0.23751
303,1,0,0,0,-3.6785e-05,2.448e-05,1.9768e-06,-0.00041712,0.00031541,0.0049595,0.0075,-0.0019307,-0.0055257,-0.004204,-0.045436,-0.019159,-0.2375
1707,1,0,0,0,-7.9757e-06,5.419e-05,-3.5843e-07,0.019033,-0.044294,-0.003537,0.0075,-0.0063012,-0.0012746,-0.0086359,-0.028408,-0.018456,-0.23751
696,1,0,0,0,-4.9552e-05,4.5269e-05,-3.0524e-05,0.007901,-0.0075882,0.0060817,0.0075,-0.007939,-0.0083292,0.011303,-0.012706,-0.021211,-0.2375
1240,1,0,0,0,2.3858e-06,-8.3754e-07,1.358e-06,-0.0012927,-0.0064856,0.0026643,0.0075,0.0001653,0.00010346,-0.0081985,0.0052675,-0.029509,-0.2375
548,1,0,0,0,4.8973e-07,8.9134e-06,1.5216e-06,0.0060325,0.00068235,0.00010616,0.0075,-0.0012062,-0.00012581,0.0095135,0.019334,-0.0243,-0.2375
567,1,0,0,0,8.4226e-06,3.2174e-05,-1.3893e-05,-0.0012284,0.0084541,-0.0051001,0.0075,-0.0027007,0.0022218,-0.0078192,0.033269,-0.023247,-0.23205
1409,1,0,0,0,5.7865e-06,-9.9073e-06,-3.6148e-05,0.0070908,-0.010962,-0.016671,0.0075,0.0022818,-0.015496,0.0089571,0.049047,-0.023181,-0.22966
203,1,0,0,0,4.1909e-05,-1.3666e-06,6.9309e-06,-0.025991,0.0027995,0.0091062,0.0075,0.00012595,0.0055998,-0.0094603,0.060079,-0.029639,-0.23751
1351,1,0,0,0,2.2114e-05,-2.7437e-05,8.4615e-07,-0.00021115,0.00057467,0.00012737,0.0075,0.0036838,0.0029977,-0.0064559,0.082729,-0.030266,-0.2375
1091,1,0,0,0,-3.0386e-05,-1.2945e-05,1.2387e-05,0.0058081,0.018612,-0.0079508,0.0075,0.0016644,-0.0046961,0.00023043,0.11319,-0.030348,-0.2375
276,1,0,0,0,-0.00023641,8.1299e-05,-1.0955e-12,7.4132e-18,-1.6999e-18,0,0.0075,-0.01084,-0.031522,-0.0017062,0.10177,-0.01904,-0.2375
